epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,lstm_layers,lstm_hidden_size,bidirectional,dropout_rate,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp
1,0.023703069103563703,0.018970392766260655,0.02564858450709905,1.8892384512335523,2025-01-25 04:04:26,0.001,2,128,True,0.2,200,32,0.001,"MultiStepLR(milestones=[30,80], gamma=0.1)",Adam,20250125_040421
2,0.018073101802842648,0.0186725967350442,0.025569922496006946,0.7535269537565845,2025-01-25 04:04:30,0.001,2,128,True,0.2,200,32,0.001,"MultiStepLR(milestones=[30,80], gamma=0.1)",Adam,20250125_040421
3,0.017325313768786856,0.018571347492163843,0.025398773899060485,1.0118951396581437,2025-01-25 04:04:33,0.001,2,128,True,0.2,200,32,0.001,"MultiStepLR(milestones=[30,80], gamma=0.1)",Adam,20250125_040421
4,0.01720186623804294,0.01845225942469089,0.025310055013627788,0.8736852471986815,2025-01-25 04:04:37,0.001,2,128,True,0.2,200,32,0.001,"MultiStepLR(milestones=[30,80], gamma=0.1)",Adam,20250125_040421
5,0.01722844713012597,0.018289899362129308,0.025157253928781296,1.0690131838734445,2025-01-25 04:04:40,0.001,2,128,True,0.2,200,32,0.001,"MultiStepLR(milestones=[30,80], gamma=0.1)",Adam,20250125_040421
6,0.01704485740458661,0.018431212093733322,0.025255979337989756,1.883452072532843,2025-01-25 04:04:44,0.001,2,128,True,0.2,200,32,0.001,"MultiStepLR(milestones=[30,80], gamma=0.1)",Adam,20250125_040421
7,0.01694882750772394,0.018419213440687022,0.025205097614562237,2.3449501498048986,2025-01-25 04:04:47,0.001,2,128,True,0.2,200,32,0.001,"MultiStepLR(milestones=[30,80], gamma=0.1)",Adam,20250125_040421
8,0.016891393312693164,0.01835798222145118,0.02514255839929105,2.302278469531734,2025-01-25 04:04:51,0.001,2,128,True,0.2,200,32,0.001,"MultiStepLR(milestones=[30,80], gamma=0.1)",Adam,20250125_040421
9,0.01676821862787531,0.01837715908893706,0.025169391530293867,2.157178562781,2025-01-25 04:04:54,0.001,2,128,True,0.2,200,32,0.001,"MultiStepLR(milestones=[30,80], gamma=0.1)",Adam,20250125_040421
10,0.016864503983680796,0.01834554353589627,0.02514495838627874,2.082677647169715,2025-01-25 04:04:58,0.001,2,128,True,0.2,200,32,0.001,"MultiStepLR(milestones=[30,80], gamma=0.1)",Adam,20250125_040421
11,0.016847362921632848,0.018337175650435075,0.0251421008273831,2.0174353387332298,2025-01-25 04:05:01,0.001,2,128,True,0.2,200,32,0.001,"MultiStepLR(milestones=[30,80], gamma=0.1)",Adam,20250125_040421
