epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,lstm_layers,lstm_hidden_size,bidirectional,dropout_rate,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp
1,0.024453856563195587,0.018983048267192514,0.025725818184905873,1.5925071730892446,2025-01-25 06:13:02,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
2,0.01749410964406618,0.01850777800699748,0.02532923307680059,0.9316593615093687,2025-01-25 06:13:06,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
3,0.0170125318613051,0.018378032332234014,0.02523898806689877,1.2778479987273867,2025-01-25 06:13:09,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
4,0.016948520470830817,0.018341723659780818,0.025186362931926942,1.4342547673703576,2025-01-25 06:13:13,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
5,0.016965605334659878,0.01832460445813208,0.025185225391596976,1.529826259274374,2025-01-25 06:13:16,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
6,0.017745512375031688,0.018687363002431866,0.0254871849285389,2.1550108742566545,2025-01-25 06:13:20,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
7,0.016992001693905898,0.01838916698557751,0.025176383883353057,2.265681893310929,2025-01-25 06:13:23,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
8,0.0169022104122233,0.018341858018294115,0.025136178967929402,2.20599401678915,2025-01-25 06:13:27,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
9,0.01689071100355671,0.018384794084459682,0.025180667271031847,2.1555083906516757,2025-01-25 06:13:30,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
10,0.01686629942993111,0.018386469381452303,0.02517716650495824,2.1514858371147603,2025-01-25 06:13:34,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
11,0.0168580849162337,0.018345332850275613,0.02515363005791174,2.0357001906589263,2025-01-25 06:13:37,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
12,0.016857403517621227,0.01835747449180094,0.025166954225410862,1.9358515835290322,2025-01-25 06:13:41,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
13,0.016849719766717654,0.018322094741808338,0.02514414650486343,1.8362898329988642,2025-01-25 06:13:44,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
14,0.016845312697398362,0.01833310463491862,0.025158623469155688,1.6834951319267784,2025-01-25 06:13:47,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
15,0.01684119233921193,0.018300120261819843,0.025135393590140546,1.560650483592312,2025-01-25 06:13:51,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
16,0.016839192666982233,0.01829152940946553,0.025135280385574187,1.488576948005018,2025-01-25 06:13:54,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
17,0.016842148384922637,0.018284292402024442,0.025137408254745735,1.4459078331826476,2025-01-25 06:13:58,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
18,0.016835427364240763,0.018289443934510385,0.025139193636846198,1.4307437663769216,2025-01-25 06:14:01,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
19,0.016840318839559786,0.01828780130996743,0.02513338131317693,1.4413833921023171,2025-01-25 06:14:05,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
20,0.01683858186375668,0.01829516059919217,0.02514090653168921,1.4732207418121428,2025-01-25 06:14:08,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
21,0.016841988855044402,0.018298970504933707,0.02513486626588063,1.5096668529576225,2025-01-25 06:14:12,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
22,0.016832958444209043,0.018291665909150354,0.025134827275100226,1.5482887419395,2025-01-25 06:14:15,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
23,0.016838410510269856,0.018292514783565268,0.025135752352410577,1.583983887132184,2025-01-25 06:14:18,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
24,0.01683320547624423,0.01830802480559622,0.025139357501950066,1.6077243894083386,2025-01-25 06:14:22,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
25,0.01683550951732663,0.01830694465636859,0.025142521226075364,1.6178264579328818,2025-01-25 06:14:25,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
26,0.01683176964799669,0.01830040597548343,0.02513837022443018,1.6142319697084895,2025-01-25 06:14:29,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
27,0.01682650981614332,0.018288688668894156,0.025129719068890874,1.6015684748949095,2025-01-25 06:14:32,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
28,0.016832189764912672,0.01830198186684713,0.025140587494479588,1.5792028942555458,2025-01-25 06:14:36,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
29,0.016835030213015426,0.018293310553009545,0.02513664052976456,1.5554568644246396,2025-01-25 06:14:39,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
30,0.01683076611789591,0.018292532382950744,0.025137142946901513,1.5264096127675066,2025-01-25 06:14:43,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
31,0.016451586449019066,0.018147607424261622,0.025057655886576966,1.0019887785446715,2025-01-25 06:14:46,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
32,0.016348618480217892,0.018051574057812377,0.0250032802563647,0.8101743040703466,2025-01-25 06:14:49,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
33,0.01628223501725077,0.01797997986105767,0.024966224125910354,0.7453420515338587,2025-01-25 06:14:53,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
34,0.01623421840074404,0.01792545933232895,0.02494175316412327,0.7195595302172244,2025-01-25 06:14:56,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
35,0.016201728342737004,0.017882459299752018,0.02492535854418495,0.7114819982902262,2025-01-25 06:15:00,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
36,0.016178100024883794,0.01784869140257763,0.024914984130820998,0.7119865015907537,2025-01-25 06:15:03,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
37,0.01616161900981352,0.01782167518607158,0.024908814373568167,0.7120499292864634,2025-01-25 06:15:07,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
38,0.016146840553208277,0.017800897562214844,0.024905441405574283,0.7120646095054028,2025-01-25 06:15:10,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
39,0.01613946658127555,0.017784852424101192,0.024904115706202334,0.7120348721753313,2025-01-25 06:15:14,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
40,0.01613289331392635,0.017772764469079116,0.024903969181285714,0.7120074756786556,2025-01-25 06:15:17,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
41,0.01612909796460327,0.017763810455320387,0.02490453112927445,0.7119775752738281,2025-01-25 06:15:21,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
42,0.016126876133323715,0.017756829673650665,0.024905513364782573,0.7119503858621444,2025-01-25 06:15:24,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
43,0.016126194927648347,0.017751275809812492,0.02490642971226426,0.7119445395760372,2025-01-25 06:15:28,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
44,0.01612321427489472,0.017746930622069217,0.024907116583282627,0.7119428836129803,2025-01-25 06:15:31,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
45,0.016122962666459652,0.01774358466184898,0.024907811862133433,0.7119411765332188,2025-01-25 06:15:35,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
46,0.01612182049955264,0.017740886567582628,0.024908562656214266,0.7119448152633876,2025-01-25 06:15:38,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
47,0.016121624386301492,0.017738469281760438,0.02490921709344508,0.7119487003823076,2025-01-25 06:15:42,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
48,0.01612124836509593,0.017736807195730855,0.02490988826729059,0.711947592022536,2025-01-25 06:15:45,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_061257
