epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,lstm_layers,lstm_hidden_size,bidirectional,dropout_rate,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp
1,0.02656426803056618,0.01896526288567451,0.02582198178219309,1.5937426423818983,2025-01-26 00:54:57,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
2,0.018116569291701107,0.018326780819979897,0.02512409334313759,1.9366728643608784,2025-01-26 00:54:59,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
3,0.01736545272546859,0.018215982008888555,0.0250486909584084,1.6233422566628986,2025-01-26 00:55:02,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
4,0.01701369185572554,0.01819485581112876,0.025057573967077675,1.5292112260153101,2025-01-26 00:55:04,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
5,0.01682492047495177,0.018042215333068674,0.02492289608710971,1.003361898142661,2025-01-26 00:55:07,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
6,0.016751772809079617,0.018138306203509008,0.02499466982810808,1.7866765411897583,2025-01-26 00:55:09,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
7,0.016735555020031722,0.018152851392141116,0.024968338730940013,2.3793368312680983,2025-01-26 00:55:12,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
8,0.01726608213033711,0.018149199533568573,0.025004378182989374,1.6661079817254276,2025-01-26 00:55:14,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
9,0.016930428493817554,0.018245744145047055,0.025110797145574907,1.2309399004922912,2025-01-26 00:55:16,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
10,0.01692266281512247,0.018167818629651937,0.025063753711023325,1.3430234948458954,2025-01-26 00:55:19,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
11,0.016717619430287052,0.018155840444752443,0.02503940032898034,1.2719679202272949,2025-01-26 00:55:21,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
12,0.017184697443702587,0.01815818702754476,0.02506507795619222,1.2574785489042515,2025-01-26 00:55:24,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
13,0.01694597755740273,0.018156946813483742,0.025035783330296425,1.4907881195304153,2025-01-26 00:55:26,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
14,0.016994882116276602,0.018166379760067068,0.02503795593411369,1.5283383480152375,2025-01-26 00:55:28,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
15,0.01668870506654122,0.018183388403977138,0.025043148684151195,1.5655722724493923,2025-01-26 00:55:31,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
16,0.016700498528022516,0.018185271398864524,0.025048709953876053,1.5717676591016816,2025-01-26 00:55:33,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
17,0.01668961646815252,0.018170349350892498,0.02503659038158981,1.5518383248782939,2025-01-26 00:55:36,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
18,0.016662789550751532,0.01816493191545571,0.025022820725342537,1.5855164226836056,2025-01-26 00:55:38,0.001,2,128,True,0.5,200,50,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250126_005452
