epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,lstm_layers,lstm_hidden_size,bidirectional,dropout_rate,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp
1,0.022328929883348416,0.019266072734210053,0.025881255921978194,2.1487732468262464,2025-01-25 23:28:41,0.001,2,128,True,0.5,200,20,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_232834
2,0.017080273871326383,0.018860251789133756,0.02549772402399392,3.111839311386166,2025-01-25 23:28:46,0.001,2,128,True,0.5,200,20,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_232834
3,0.01692440353555157,0.018597127882660262,0.025404532793974758,1.939260299887385,2025-01-25 23:28:52,0.001,2,128,True,0.5,200,20,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_232834
4,0.017242608373546717,0.018572352053216327,0.025432020737715257,1.3590229617699918,2025-01-25 23:28:58,0.001,2,128,True,0.5,200,20,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_232834
5,0.016966422043501884,0.018572698461643437,0.025419989031998907,1.2930574057967013,2025-01-25 23:29:03,0.001,2,128,True,0.5,200,20,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_232834
6,0.0169033708696189,0.0185907956829556,0.025440510396117468,1.306618666859566,2025-01-25 23:29:09,0.001,2,128,True,0.5,200,20,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_232834
7,0.016857711299430443,0.018543369494846952,0.02539111057513294,1.4264342933862735,2025-01-25 23:29:14,0.001,2,128,True,0.5,200,20,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_232834
8,0.01685086013535843,0.018559887815315864,0.02540370026010789,1.4751995792469184,2025-01-25 23:29:20,0.001,2,128,True,0.5,200,20,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_232834
9,0.01683677389574746,0.018525215472388817,0.025368235390588082,1.5176938522333057,2025-01-25 23:29:25,0.001,2,128,True,0.5,200,20,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_232834
10,0.01684422497186372,0.018546354728179018,0.025385304154710783,1.604712134915272,2025-01-25 23:29:31,0.001,2,128,True,0.5,200,20,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_232834
11,0.01684709010692686,0.0185345901885718,0.025365096489910897,1.6850106850221478,2025-01-25 23:29:36,0.001,2,128,True,0.5,200,20,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_232834
12,0.016841185025818627,0.018537682611822037,0.025364376919851245,1.7646301613655475,2025-01-25 23:29:42,0.001,2,128,True,0.5,200,20,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_232834
