epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,model_type,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp,tcn_layers,tcn_kernel_size,dropout_rate
1,0.024310360630270002,0.01837039617691015,0.02526470847060037,1.2426926100006137,2025-01-29 04:27:14,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
2,0.016881564694276454,0.018362901210523794,0.025225731636400326,1.359991462774674,2025-01-29 04:27:23,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
3,0.016871748194978685,0.01822113917888116,0.02489115448552629,1.3374838198670473,2025-01-29 04:27:32,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
4,0.016860847880427795,0.01823392775231781,0.024895735914119435,1.2295172543225519,2025-01-29 04:27:41,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
5,0.01683190366865147,0.018203415753424306,0.02486227666491323,1.2196598440617636,2025-01-29 04:27:51,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
6,0.01682372630201848,0.018277056697999762,0.024899628311271352,1.178966374158074,2025-01-29 04:27:59,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
7,0.016826445720493566,0.018536680025509865,0.025044935342836486,1.144988162375813,2025-01-29 04:28:08,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
8,0.016830566532273845,0.018502845011094463,0.025025762778588964,1.063437318724385,2025-01-29 04:28:17,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
9,0.016842108319240916,0.018410435894060287,0.02552207051027018,1.1996282739226214,2025-01-29 04:28:26,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
10,0.01682501117572495,0.018244325743648704,0.024971973422406823,1.1600734313004646,2025-01-29 04:28:35,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
11,0.016820961159438166,0.018180806981834854,0.024924637336541364,1.1108116617888852,2025-01-29 04:28:44,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
12,0.01682048278162256,0.018085971051417987,0.024877861028924385,1.1469511807982626,2025-01-29 04:28:53,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
13,0.016825660956007,0.0180267849991481,0.024901643690563344,1.075292860843623,2025-01-29 04:29:02,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
14,0.016821635078153256,0.01819794621779888,0.02509590698468319,1.0211885660985414,2025-01-29 04:29:11,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
15,0.01681974835270766,0.018361726646294173,0.025271772319909427,0.9965516175768829,2025-01-29 04:29:20,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
16,0.01681864080345826,0.018378360606033668,0.02526462239808389,0.9894503893727677,2025-01-29 04:29:29,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
17,0.016821644775904487,0.018401182399166174,0.02527484792348326,0.9282906009134443,2025-01-29 04:29:38,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
18,0.01682179451582204,0.018376265878780423,0.025238296425698747,0.9941220453943022,2025-01-29 04:29:47,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
19,0.01684719765262122,0.0183227546273722,0.02516739654753204,1.4665172356705138,2025-01-29 04:29:56,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
20,0.0168240727772993,0.018266513153788782,0.025129252643591265,1.2424824743385556,2025-01-29 04:30:05,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
21,0.01682448869843672,0.0182887458756009,0.025147952327903875,1.3288411705443905,2025-01-29 04:30:14,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
22,0.016822727249435534,0.018284304291619178,0.02514684033307823,1.2353120632587993,2025-01-29 04:30:23,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
23,0.016819069485631544,0.018284760089155947,0.02515652682625915,1.0837969268573149,2025-01-29 04:30:32,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
24,0.01685936023614642,0.018194330764812566,0.025021471652858052,1.2251966111653405,2025-01-29 04:30:41,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
25,0.01633221341478752,0.01778884095065818,0.02477158457571228,0.7578999036093235,2025-01-29 04:30:50,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
26,0.016225323138372383,0.01779084991898701,0.024810752621564944,0.7405576029809589,2025-01-29 04:30:59,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
27,0.016214586428377958,0.01776908132874311,0.02479313521840904,0.7259241908910633,2025-01-29 04:31:08,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
28,0.01621484915163686,0.017762502462812045,0.024755506437654468,0.7066649509938556,2025-01-29 04:31:17,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
29,0.016213997123300142,0.01773579980716736,0.02472631377497296,0.6868776155043613,2025-01-29 04:31:26,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
30,0.016213480550540248,0.017701816585167337,0.0246939914897456,0.660754213028334,2025-01-29 04:31:35,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
31,0.01621350725557621,0.017681404185551,0.02467958359073719,0.6391708433341126,2025-01-29 04:31:44,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
32,0.01621514648431912,0.017675774164332476,0.024678883867544636,0.6216055613845867,2025-01-29 04:31:53,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
33,0.01621260369975949,0.017666899909213114,0.024671073069738522,0.5977258986170636,2025-01-29 04:32:02,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
34,0.016212391666784065,0.01767152235582123,0.024677020674614206,0.6107643615153306,2025-01-29 04:32:11,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
35,0.01621159762364142,0.017713600654311688,0.024716076604673756,0.6033718332984127,2025-01-29 04:32:20,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
36,0.016211404247641018,0.017727176182267962,0.024725443438903042,0.5991748792891157,2025-01-29 04:32:29,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
37,0.016210894102355603,0.017712805713918582,0.02470585524731207,0.6132237526276985,2025-01-29 04:32:38,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
38,0.016210777907371066,0.017720975224407406,0.024713317309494547,0.6292177780406416,2025-01-29 04:32:47,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
39,0.01621025021212096,0.01769098953809589,0.024681795539491392,0.6396916884893441,2025-01-29 04:32:56,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
40,0.016216473341152844,0.017888675413364283,0.024911910072600872,0.5052231307266334,2025-01-29 04:33:04,0.0001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
