epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,model_type,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp,tcn_layers,tcn_kernel_size,dropout_rate
1,0.022819278466447098,0.02081637211888158,0.029412039795322486,1.524510660251528,2025-01-29 05:16:22,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
2,0.01686575273726215,0.02263271545764999,0.03370201767553415,1.3231586839281613,2025-01-29 05:16:32,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
3,0.016838057423308607,0.022554456785094934,0.03295477203600322,1.3174885447390061,2025-01-29 05:16:43,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
4,0.016826738739633227,0.02245754848460658,0.033042448195988526,1.3553695844496938,2025-01-29 05:16:54,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
5,0.016827039479096306,0.021850738613474592,0.031986875816898935,1.3153169979631791,2025-01-29 05:17:04,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
6,0.01682409003601273,0.022286300292830463,0.032752905049958536,1.3139131210507327,2025-01-29 05:17:15,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
7,0.0168261689705371,0.023157427753278306,0.033284473429809135,1.2262711937663022,2025-01-29 05:17:25,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
8,0.01680549927341195,0.023089462504983296,0.03523194395319276,1.3273648272248957,2025-01-29 05:17:36,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
9,0.01684904171234826,0.022189701447115392,0.03221631883419452,1.4031693227269366,2025-01-29 05:17:46,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
10,0.016858867444765255,0.01845756793507836,0.025251270657323195,1.5036347012749676,2025-01-29 05:17:57,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
11,0.016842688705769323,0.018288497878325597,0.0250578129629712,1.2947119604523,2025-01-29 05:18:07,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
12,0.016819245126041608,0.018212379332823315,0.024969348870754658,1.3614199840479384,2025-01-29 05:18:18,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
13,0.016825779932465906,0.0181800168220859,0.02494411600116134,1.256358409703553,2025-01-29 05:18:29,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
14,0.016818340435175497,0.0180726328116154,0.02490118897761102,1.1092657086134197,2025-01-29 05:18:39,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
15,0.016817805710782455,0.01793311216550766,0.02487077290968103,1.0298568260124128,2025-01-29 05:18:50,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
16,0.01681618745780902,0.017949094025365937,0.024919153192943373,1.2750415377811022,2025-01-29 05:19:01,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
17,0.016820775269368867,0.01844794289470067,0.02523957182152461,1.1141773569409534,2025-01-29 05:19:11,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
18,0.016821142038892636,0.018182236594626696,0.0249416189152201,1.2433881978919685,2025-01-29 05:19:22,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
19,0.016842408826654186,0.0186300541200266,0.02543048537260357,1.3818256832409272,2025-01-29 05:19:32,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
20,0.01681126492337903,0.018471995849493092,0.025391212352610694,1.1154738190799054,2025-01-29 05:19:43,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
21,0.016332099614551336,0.018088578403204957,0.02514515996536678,0.6556338801297859,2025-01-29 05:19:53,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
22,0.016223674146643066,0.018101640834438257,0.025212427234116357,0.6483033189487358,2025-01-29 05:20:04,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
23,0.01621338834456543,0.018090345413711306,0.025196180362166247,0.6370120599319614,2025-01-29 05:20:14,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
24,0.01621282237990782,0.018109670863051628,0.02522109319544486,0.6284373266322205,2025-01-29 05:20:25,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
25,0.016212111108058997,0.018102553161731528,0.025194571189803144,0.6331696243020366,2025-01-29 05:20:35,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
26,0.016212029886508657,0.018114456055015674,0.025210121754105266,0.6154027447074335,2025-01-29 05:20:46,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
27,0.0162120959766936,0.018156015541552453,0.02526616179407732,0.5978195890851684,2025-01-29 05:20:56,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
28,0.016211570992500795,0.018169131586937424,0.02528702507787038,0.5650319312085661,2025-01-29 05:21:06,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
29,0.016211911998745963,0.01814971428590818,0.025262198001405955,0.5564680290710567,2025-01-29 05:21:17,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
30,0.01618666956449643,0.018649174340034477,0.02595711855720627,0.7207687429045727,2025-01-29 05:21:27,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
31,0.016217866133069393,0.01782728146074044,0.02486005743227984,0.5444781853603904,2025-01-29 05:21:38,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
32,0.01621191456847222,0.017831184071157927,0.02486141201860114,0.5311914222032759,2025-01-29 05:21:48,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
33,0.016211263823078765,0.017833269267586695,0.024863379123780303,0.5242611317199808,2025-01-29 05:21:59,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
34,0.016211265294596825,0.017834581565285956,0.024864970279512025,0.543094257731627,2025-01-29 05:22:09,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
35,0.01621104255339937,0.0178362093942031,0.024867447346423086,0.535208265832829,2025-01-29 05:22:20,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
36,0.016210535771097056,0.017839739262343984,0.024871174442114147,0.5247175922841383,2025-01-29 05:22:30,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
37,0.016210820272113423,0.017841641291775786,0.024873597956453157,0.5285584723766301,2025-01-29 05:22:41,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
38,0.016210005963689694,0.017845373772624358,0.02487860760624378,0.5105225295332427,2025-01-29 05:22:51,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
39,0.016210537471044693,0.017851499567530772,0.024886438564288314,0.4994875748487044,2025-01-29 05:23:02,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
40,0.016209734796557757,0.017849644119459614,0.02488491218697147,0.48855533896442516,2025-01-29 05:23:12,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
41,0.016209778597680625,0.017849077942789855,0.024882931042619977,0.5917478898183388,2025-01-29 05:23:22,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
42,0.01620911646970809,0.017854216565143004,0.024892241182702012,0.48467270581233207,2025-01-29 05:23:33,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
43,0.016208470960732593,0.017856617958641775,0.024895684654256744,0.47428152227256176,2025-01-29 05:23:43,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
44,0.016208156494909285,0.017860564876513156,0.024899633038457505,0.4739517261913982,2025-01-29 05:23:54,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
45,0.016208178652010335,0.01786492548765458,0.024902036382298973,0.4820565106779116,2025-01-29 05:24:04,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
