epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,model_type,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp,tcn_layers,tcn_kernel_size,dropout_rate
1,0.03357091360702747,0.018558291247262507,0.02529791751342747,1.4657817921467078,2025-01-29 06:01:21,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
2,0.01839236341439551,0.01903511625584041,0.025325713714038002,3.7040208258059586,2025-01-29 06:01:35,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
3,0.017125007876183655,0.021246268692487313,0.02581956982950126,5.3395082282015425,2025-01-29 06:01:48,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
4,0.017047811094841853,0.02019393348317837,0.02654801395755254,1.2208682620401947,2025-01-29 06:02:02,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
5,0.016391084369885303,0.019274138149187388,0.025613695477431395,2.640202494259523,2025-01-29 06:02:15,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
6,0.01613326591095978,0.017950518587691203,0.024668625221750885,2.826303030819498,2025-01-29 06:02:29,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
7,0.015954120203614145,0.017887671850186502,0.024814170058701866,1.450789729390551,2025-01-29 06:02:43,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
8,0.016423487077785157,0.018439204136135978,0.025189902354694566,1.632780710784519,2025-01-29 06:02:57,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
9,0.015864681552885465,0.018701472570989107,0.025576817190974023,1.4668390180081927,2025-01-29 06:03:11,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
10,0.01592749357670716,0.01776918511463451,0.02438669393680562,1.6178132099790778,2025-01-29 06:03:25,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
11,0.016106863995082675,0.01825468139244226,0.025177090189957955,2.020683273215412,2025-01-29 06:03:38,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
12,0.015943144264818375,0.019310312133465207,0.02642136714835085,2.4576807544046315,2025-01-29 06:03:52,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
13,0.01564191668819659,0.018727906557478916,0.02593490969262746,2.094746305553605,2025-01-29 06:04:06,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
14,0.015920716730974296,0.01733754308476487,0.02388187094090298,1.3467402979687522,2025-01-29 06:04:20,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
15,0.015827657288457152,0.01679843020185863,0.023400036735678708,1.1995548578357673,2025-01-29 06:04:34,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
16,0.01596574515740319,0.02048143146072175,0.02922719750298955,1.3180490722597604,2025-01-29 06:04:48,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
17,0.015792188707529,0.017048914856973723,0.023947680406022718,0.9953996440353953,2025-01-29 06:05:01,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
18,0.01581700139696051,0.01821944951547623,0.0253006346892502,0.845193307631139,2025-01-29 06:05:15,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
19,0.015595584828690513,0.01664035736308999,0.023267117057012714,1.1014229356704097,2025-01-29 06:05:29,0.001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
20,0.015560772709928953,0.01661729591106561,0.023099057301641905,0.9233125534823805,2025-01-29 06:05:43,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
21,0.015090880987643288,0.016367017129375206,0.022879966209199937,0.6585878890083212,2025-01-29 06:05:57,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
22,0.014762429432182504,0.016340280094218798,0.022751730796258186,0.6383599147436544,2025-01-29 06:06:11,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
23,0.01454192407034542,0.016208371006074213,0.022605314566730587,0.6194692572624914,2025-01-29 06:06:25,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
24,0.014327403731081953,0.016093356061561433,0.022474502412734815,0.6563503404055013,2025-01-29 06:06:39,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
25,0.014224711767960021,0.016007381929824493,0.022405073325440387,0.6697977887451606,2025-01-29 06:06:53,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
26,0.014110437981364113,0.015950462244511975,0.022376885257245696,0.7017851530424343,2025-01-29 06:07:07,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
27,0.014044070323338596,0.0158747045783474,0.022293970154805658,0.6749472703836249,2025-01-29 06:07:21,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
28,0.013972162406624682,0.015833257341748713,0.02223603803309735,0.7405328762412072,2025-01-29 06:07:35,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
29,0.013912529152074101,0.01582126116932796,0.02224603806396478,0.7903209920628617,2025-01-29 06:07:49,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
30,0.013859828047755334,0.01580770426619119,0.022217341452458003,0.7845784366638855,2025-01-29 06:08:03,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
31,0.01383337128507087,0.015785540071387872,0.022193051024616887,0.8121931302540379,2025-01-29 06:08:18,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
32,0.013755448334197309,0.015781179250535668,0.022198567257368865,0.8287775344472799,2025-01-29 06:08:32,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
33,0.013697798615009183,0.01576057733330336,0.022171167092401002,0.8581440296717237,2025-01-29 06:08:46,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
34,0.0136572909990053,0.01575608640228111,0.022158218980022397,0.8415984544677595,2025-01-29 06:09:00,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
35,0.013618646904459882,0.015758680116611523,0.022149550026942057,0.8257461994124082,2025-01-29 06:09:14,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
36,0.013565280096301605,0.01572559251848208,0.02211949511932118,0.8341764140368679,2025-01-29 06:09:28,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
37,0.013518670101567716,0.015752376160566982,0.02215110597593605,0.8429649455729086,2025-01-29 06:09:42,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
38,0.013481844303825666,0.01573165984243311,0.022117290647630537,0.8386518097141946,2025-01-29 06:09:55,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
39,0.013450946297394338,0.015711981718859278,0.022118615531872405,0.8241819127632096,2025-01-29 06:10:09,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
40,0.013408259364631504,0.015728665276421843,0.022118388873818257,0.8503777515372996,2025-01-29 06:10:23,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
41,0.013392480838725842,0.015712631654177106,0.022100554084429676,0.8160295792373058,2025-01-29 06:10:37,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
42,0.013351798848683446,0.01568839994529001,0.022101228667546095,0.8223221565676956,2025-01-29 06:10:51,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
43,0.013335246759858664,0.01569897505981308,0.022110007079396452,0.7846444719505024,2025-01-29 06:11:05,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
44,0.01325984648925752,0.015704193543077002,0.022118037613306787,0.8055684793828936,2025-01-29 06:11:18,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
45,0.013245057872859988,0.015686390963905256,0.02209508455176003,0.7787524353948478,2025-01-29 06:11:32,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
46,0.01321845279222854,0.015697722224775425,0.022126785659975556,0.7635210245278479,2025-01-29 06:11:46,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
47,0.013192527560891992,0.015729369738718024,0.02214436524749949,0.7641566640568151,2025-01-29 06:11:59,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
48,0.013157168337677765,0.01568735178144405,0.022134354367497874,0.764376846582541,2025-01-29 06:12:13,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
49,0.013156263365995183,0.015696000462293486,0.022152425201195192,0.737197224309053,2025-01-29 06:12:26,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
50,0.013091902378747786,0.015702866111385907,0.02212888037860871,0.7387032711717246,2025-01-29 06:12:40,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
51,0.012819436869992897,0.015584162623560596,0.022011339338071347,0.5611155744961458,2025-01-29 06:12:54,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
52,0.012697028098968654,0.015546689791633164,0.021987782477448693,0.5609982295235117,2025-01-29 06:13:08,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
53,0.012688430613006193,0.015523138189760132,0.021959898617963942,0.5572529302198056,2025-01-29 06:13:22,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
54,0.012649890373279227,0.015508924431937842,0.021944490576013893,0.5574651462070771,2025-01-29 06:13:36,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
55,0.012626652124340691,0.015503126129515635,0.02193760103121518,0.5592046427492117,2025-01-29 06:13:50,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
56,0.012616612902904929,0.015495092998488336,0.021929972945481442,0.554303148599257,2025-01-29 06:14:04,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
57,0.012596257693963352,0.01548979312840253,0.021924386440198087,0.5566027545649027,2025-01-29 06:14:18,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
58,0.012605115640326403,0.015478317407677907,0.021909726539415787,0.5488625622512051,2025-01-29 06:14:31,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
59,0.012570043400614295,0.01547363933385785,0.021902292192342736,0.5522021688708681,2025-01-29 06:14:45,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
60,0.012576244988623529,0.01547168567613481,0.021899666756272765,0.5514274111464891,2025-01-29 06:14:59,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
61,0.012560599359325929,0.015475493131034624,0.02189944104986438,0.5467091183005651,2025-01-29 06:15:13,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
62,0.012556732484997,0.01546203165758993,0.021888265778030384,0.5446320831016681,2025-01-29 06:15:27,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
63,0.012552490374556084,0.015464752383484444,0.02188648842778404,0.5454452405986399,2025-01-29 06:15:41,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
64,0.012549245825091308,0.015454823775875173,0.021876361656524342,0.540557490203358,2025-01-29 06:15:55,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_060106,6,7,0.2
